"Species","Scenario","Subpopulation #","Subpopulation","Correct Productivity Weighting?","Productivity Weighting","Correct Capacity Weighting?","Capacity Weighting","Diversity","Survival","Eggs per Spawner","Productivity","Capacity","Equilibrium Abundance","Juvenile-to-Adult Survival","Juvenile-to-Spawner Survival","Juvenile Productivity","Juvenile Capacity","Juvenile Abundance","Juvenile-to-Adult Productivity","Juvenile-to-Adult Capacity","Juvenile-to-Adult Abundance","...3"
"Coho","with Project 10",10,"Grays Harbor Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.878895257946847,0.00402613020805173,1500,6.03919531207759,28793.4754350679,24025.7085477337,0.124735629566911,0.107480572952392,52.596875019118,271575.017144572,223535.359812194,6.59857909138064,33833.3459487551,27882.8238366401,NA
"Coho","with Project 10",20,"Olympic Mts Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.877703927492447,0.00311933860856729,1500,4.67900791285093,26629.1334808057,20937.9412501474,0.127256247521815,0.106920854431625,40.7887568164359,254087.986200187,195826.542552903,5.21982546040138,32280.5560820265,24920.1509704535,NA
"Coho","with Project 10",30,"Tidal Chehalis Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.55625,0.00297775768914748,1500,4.46663653372123,967.2970183966,750.736523470739,0.124914703339061,0.0875768666939475,40.6922710337961,11916.0412967249,8572.31540486962,5.08995305501297,1487.70323859031,1070.80823572815,NA
"Coho","with Project 10",40,"Lower Chehalis Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.478260869565217,0.00144056800274668,1500,2.16085200412001,2760.79655006093,1483.1539605652,0.127713577359545,0.115568540870991,18.6239704253139,23970.437156981,12833.5440543534,2.38054241467356,3059.11045379735,1639.01782138279,NA
"Coho","with Project 10",50,"Black Hills Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.759910485933504,0.00261602153336635,1500,3.92403230004953,8108.76380286025,6042.32724402817,0.126366131401058,0.109427785547302,33.5811751832624,75861.7471928312,55217.4862518467,4.26610221334795,9567.42373180764,6977.62012333696,NA
"Coho","with Project 10",60,"Central Lowlands Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.522230991844251,0.00224622890860704,1500,3.36934336291057,4867.02882222425,3422.52516142195,0.130114861506748,0.10688279882084,28.6721135929242,47531.3055867965,32021.2906022314,3.74825795842809,6170.50346040479,4166.44579197668,NA
"Coho","with Project 10",70,"Black River Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.742767787333855,0.00245138065293362,1499.99999999999,3.67707097940041,7740.96551857278,5635.76668995647,0.13198770579519,0.115887787837221,30.199566148761,68085.5948889583,48631.2388486749,4.00251817557255,8971.62428919041,6418.72564561449,NA
"Coho","with Project 10",80,"Middle Chehalis Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.0434782608695652,0.00125038800591603,1500,1.87558200887404,871.442288338554,406.817289689893,0.135586542269389,0.117903131961752,15.3667564893597,7700.84886159966,3450.43666712658,2.1085146790853,1029.10714167344,467.832777015208,NA
"Coho","with Project 10",90,"Cascade Mts Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.247544932369835,0.00216356397764904,1500,3.24534596647357,8363.13574260269,5786.17296914216,0.132207975585981,0.111625897937364,26.6102416713102,78142.5480890104,51835.3990969811,3.51055542426504,10342.3278318675,6853.05317830324,NA
"Coho","with Project 10",100,"Willapa Hills Region",FALSE,"Equilibrium Abundance (Productivity > 1)",FALSE,"Capacity (Productivity > 0)",0.287154592979836,0.00236051530861856,1499.99999999999,3.54077296292783,7402.31145041191,5311.71950116391,0.131373050766441,0.118668071347006,28.9054681867147,63180.194555138,44761.151343157,3.78198957390082,8314.11491987956,5880.40900776891,NA
